",movie_title,movie_lifetime"
"110,Fast & Furious 6,""$788,683,342"""
"111,Indiana Jones and the Kingdom of the Crystal Skull,""$786,636,033"""
"112,Deadpool 2,""$785,896,632"""
"113,Spider-Man 2,""$784,543,400"""
"114,Deadpool,""$782,837,347"""
"115,Star Wars: Episode IV - A New Hope,""$775,398,507"""
"116,No Time to Die,""$774,153,007"""
"117,Guardians of the Galaxy,""$773,350,376"""
"118,The Batman,""$772,319,315"""
"119,Thor: Love and Thunder,""$760,928,081"""
"120,Fast & Furious Presents: Hobbs & Shaw,""$760,732,926"""
"121,The Da Vinci Code,""$760,006,945"""
"122,Maleficent,""$759,853,685"""
"123,The Hunger Games: Mockingjay - Part 1,""$759,159,711"""
"124,The Amazing Spider-Man,""$758,707,722"""
"125,Shrek Forever After,""$752,600,867"""
"126,Suicide Squad,""$749,200,054"""
"127,Madagascar 3: Europe's Most Wanted,""$746,921,274"""
"128,X-Men: Days of Future Past,""$746,045,700"""
"129,""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"",""$745,013,115"""
"130,Monsters University,""$743,559,645"""
"131,The Matrix Reloaded,""$741,847,937"""
"132,Interstellar,""$740,726,550"""
"133,Up,""$735,102,136"""
"134,F9: The Fast Saga,""$726,229,501"""
"135,Ne Zha,""$726,225,471"""
"136,Gravity,""$723,719,539"""
"137,The Amazing Spider-Man 2,""$716,891,708"""
"138,Dune: Part Two,""$714,444,358"""
"139,Captain America: The Winter Soldier,""$714,421,503"""
"140,The Twilight Saga: Breaking Dawn - Part 1,""$712,205,856"""
"141,The Twilight Saga: New Moon,""$711,048,123"""
"142,Dawn of the Planet of the Apes,""$710,644,566"""
"143,Transformers,""$709,709,780"""
"144,Fast X,""$704,875,015"""
"145,It,""$704,242,888"""
"146,The Wandering Earth,""$699,992,512"""
"147,The Twilight Saga: Eclipse,""$698,513,085"""
"148,The Hunger Games,""$695,220,619"""
"149,Mission: Impossible - Ghost Protocol,""$694,713,380"""
"150,Spider-Man: Across the Spider-Verse,""$690,824,738"""
"151,Detective Chinatown 3,""$686,257,563"""
"152,Mission: Impossible - Rogue Nation,""$682,716,636"""
"153,Forrest Gump,""$678,226,465"""
"154,Doctor Strange,""$677,796,833"""
"155,The Sixth Sense,""$672,806,432"""
"156,Full River Red,""$670,491,959"""
"157,Man of Steel,""$670,145,518"""
"158,Ice Age: The Meltdown,""$667,094,506"""
"159,Kung Fu Panda 2,""$665,692,281"""
"160,The Hunger Games: Mockingjay - Part 2,""$661,456,867"""
"161,Justice League,""$661,326,987"""
"162,Big Hero 6,""$657,870,525"""
"163,Fantastic Beasts: The Crimes of Grindelwald,""$655,755,901"""
"164,Pirates of the Caribbean: The Curse of the Black Pearl,""$654,264,546"""
"165,Men in Black³,""$654,213,485"""
"166,Star Wars: Episode II - Attack of the Clones,""$653,780,724"""
"167,Thor: The Dark World,""$644,783,140"""
"168,Moana,""$643,332,467"""
"169,Wonka,""$634,402,312"""
"170,Wicked,""$634,378,535"""
"171,Sing,""$634,338,409"""
"172,Kung Fu Panda,""$632,091,832"""
"173,The Incredibles,""$631,688,498"""
"174,The Martian,""$630,621,406"""
"175,Hancock,""$629,443,428"""
"176,Water Gate Bridge,""$626,571,697"""
"177,Fast Five,""$626,140,012"""
"178,Iron Man 2,""$623,933,331"""
"179,Ratatouille,""$623,729,380"""
"180,Ant-Man and the Wasp,""$622,674,139"""
"181,How to Train Your Dragon 2,""$621,537,519"""
"182,Logan,""$619,180,476"""
"183,The Lost World: Jurassic Park,""$618,638,999"""
"184,Casino Royale,""$616,577,552"""
"185,The Wandering Earth II,""$615,023,132"""
"186,The Passion of the Christ,""$612,060,372"""
"187,Mamma Mia!,""$611,452,132"""
"188,Life of Pi,""$609,016,565"""
"189,Ready Player One,""$607,874,422"""
"190,Transformers: The Last Knight,""$605,425,157"""
"191,Madagascar: Escape 2 Africa,""$603,900,354"""
"192,War of the Worlds,""$603,873,504"""
"193,Tangled,""$591,806,017"""
"194,Quantum of Solace,""$589,593,688"""
"195,Men in Black,""$589,390,539"""
"196,The Croods,""$587,266,745"""
"197,The Hangover Part II,""$586,764,305"""
"198,Iron Man,""$585,796,247"""
"199,I Am Legend,""$585,410,052"""
